country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Somalia,0,0,0,0
Switzerland,185,100,280,10.2 
Nigeria,42,5,2,9.1 
Turkmenistan,19,71,32,2.2 
Kazakhstan,124,246,12,6.8 
Costa Rica,149,87,11,4.4 
Grenada,199,438,28,11.9 
Vanuatu,21,18,11,0.9 
Guinea-Bissau,28,31,21,2.5 
Angola,217,57,45,5.9 
Bahamas,122,176,51,6.3 
Honduras,69,98,2,3 
San Marino,0,0,0,0 
Brunei,31,2,1,0.6 
Pakistan,0,0,0,0 
Niue,188,200,7,7 
Cambodia,57,65,1,2.2 
Morocco,12,6,10,0.5 
Thailand,99,258,1,6.4 
Niger,3,2,1,0.1 
Chad,15,1,1,0.4 
Antigua & Barbuda,102,128,45,4.9 
Bahrain,42,63,7,2 
Uzbekistan,25,101,8,2.4 
Bangladesh,0,0,0,0 
Malaysia,13,4,0,0.3 
Rwanda,43,2,0,6.8 
Cameroon,147,1,4,5.8 
Indonesia,5,1,0,0.1 
Mali,5,1,1,0.6 
Trinidad & Tobago,197,156,7,6.4 
Belarus,142,373,42,14.4 
DR Congo,32,3,1,2.3 
Eritrea,18,0,0,0.5 
Lesotho,82,29,0,2.8 
Zambia,32,19,4,2.5 
Oman,22,16,1,0.7 
Singapore,60,12,11,1.5 
Uganda,45,9,0,8.3 
Tanzania,36,6,1,5.7 
Italy,85,42,237,6.5 
Philippines,71,186,1,4.6 
Panama,285,104,18,7.2 
Syria,5,35,16,1 
Latvia,281,216,62,10.5 
Colombia,159,76,3,4.2 
Timor-Leste,1,1,4,0.1 
El Salvador,52,69,2,2.2 
Slovenia,270,51,276,10.6 
Swaziland,90,2,2,4.7 
Georgia,52,100,149,5.4 
Algeria,25,0,14,0.7 
Iceland,233,61,78,6.6 
Tonga,36,21,5,1.1 
Bolivia,167,41,8,3.8 
Vietnam,111,2,1,2 
Tunisia,51,3,20,1.3 
Djibouti,15,44,3,1.1 
Myanmar,5,1,0,0.1 
China,79,192,8,5 
Palau,306,63,23,6.9 
Papua New Guinea,44,39,1,1.5 
St. Kitts & Nevis,194,205,32,7.7 
Luxembourg,236,133,271,11.4 
Spain,284,157,112,10 
Afghanistan,0,0,0,0 
Sao Tome & Principe,56,38,140,4.2 
Seychelles,157,25,51,4.1 
USA,249,158,84,8.7 
Cyprus,192,154,113,8.2 
Kuwait,0,0,0,0 
Kenya,58,22,2,1.8 
Ukraine,206,237,45,8.9 
Poland,343,215,56,10.9 
Mongolia,77,189,8,4.9 
Malta,149,100,120,6.6 
Libya,0,0,0,0 
Ireland,313,118,165,11.4 
Togo,36,2,19,1.3 
Solomon Islands,56,11,1,1.2 
St. Vincent & the Grenadines,120,221,11,6.3 
Guinea,9,0,2,0.2 
Congo,76,1,9,1.7 
Armenia,21,179,11,3.8 
Norway,169,71,129,6.7 
Dominican Republic,193,147,9,6.2 
Qatar,1,42,7,0.9 
Monaco,0,0,0,0 
Nepal,5,6,0,0.2 
Iraq,9,3,0,0.2 
United Arab Emirates,16,135,5,2.8 
Moldova,109,226,18,6.3 
Belgium,295,84,212,10.5 
Czech Republic,361,170,134,11.8 
Russian Federation,247,326,73,11.5 
Botswana,173,35,35,5.4 
Jamaica,82,97,9,3.4 
Equatorial Guinea,92,0,233,5.8 
South Africa,225,76,81,8.2 
Marshall Islands,0,0,0,0
